date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,anthing
3/1/2021,UT,1940,,5,,14724,14724,238,29,2309,89,1538003,2400,,,2515715,813,,371492,,257,0,,58884,,56440,343473,352814,,0,2859188,5273,,954594,,356517,1852407,2642,2859188,5273,
3/1/2021,VA,8783,7530,231,1253,24158,24158,1321,43,,295,,0,,,,,196,577174,454735,1124,0,28067,122040,,,555429,,5915914,13192,5915914,13192,221809,1384143,,,,0,,0,
3/1/2021,VI,25,,0,,,,,0,,,45225,0,,,,,,2646,,0,0,,,,,,2511,,0,47871,0,,,,,47981,0,,0,
3/1/2021,VT,205,,1,,,,29,0,,8,316758,880,,,,,,15284,14847,86,0,,,,,,12626,,0,1076259,7960,,,,,331605,965,1076259,7960,
3/1/2021,WA,4956,,0,,19319,19319,498,0,,135,,0,,,4913062,,58,339773,321079,0,0,,,,,321014,,5234432,0,5234432,0,,,,,,0,,0,
3/1/2021,WI,7014,6412,0,602,26158,26158,287,31,2256,73,2629622,2826,,,,,,617700,564268,333,0,,,,,,550280,6921918,15040,6921918,15040,,,,,3193890,3134,,0,
3/1/2021,WV,2300,1955,0,345,,,225,0,,59,,0,,,,,30,132048,105464,193,0,,,,,,122751,,0,2181927,4330,32608,,,,,0,2181927,4330,
3/1/2021,WY,671,,0,,1384,1384,28,2,,,181196,370,,,594005,,,54471,46147,77,0,,,,,38827,53248,,0,640594,3878,,,,,227343,473,640594,3878,
2/1/2021,AK,262,,0,,1205,1205,43,0,,,,0,,,1442574,,10,52668,,70,0,,,,,63384,,,0,1507662,7337,,,,,,0,1507662,7337,
2/1/2021,AL,7688,6171,0,1517,41859,41859,1888,0,2552,,1781197,2811,,,,1456,,460860,363228,1221,0,,,,,,242143,,0,2144425,3720,,,105851,,2144425,3720,,0,
2/1/2021,AR,4895,3937,27,958,13651,13651,889,41,,276,2201961,6091,,,2201961,1426,146,296494,236540,1226,0,,,,70315,,274904,,0,2438501,6963,,,,363592,,0,2438501,6963,
2/1/2021,AS,0,,0,,,,,0,,,2140,0,,,,,,0,0,0,0,,,,,,,,0,2140,0,,,,,,0,2140,0,
2/1/2021,AZ,13124,11707,4,1417,52986,52986,3654,222,,984,2753536,6493,,,,,662,762145,713801,3741,0,,,,,,,,0,6726250,27498,538066,,418734,,3467337,10021,6726250,27498,
2/1/2021,CA,40908,,211,,,,15212,0,,3949,,0,,,,,,3258706,3258706,15358,0,,,,,,,,0,42569193,290175,,,,,,0,42569193,290175,
2/1/2021,CO,5641,4932,4,709,21844,21844,611,11,,,2028478,16736,303256,,,,,397063,377401,884,0,45552,,,,,,5467870,15820,5467870,15820,349865,,,,2405879,5316,,0,
2/1/2021,CT,7119,5806,73,1313,,,912,0,,,,0,,,5239888,,,253954,238535,3931,0,,15705,,,289594,,,0,5536731,98,,257183,,,,0,5536731,98,
2/1/2021,DC,916,,3,,,,240,0,,66,,0,,,,,46,37008,,136,0,,,,,,25915,1106070,5604,1106070,5604,,,,,412274,1134,,0,
2/1/2021,DE,1101,991,11,110,,,321,0,,39,509320,1379,,,,,,78495,74678,424,0,,,,,81472,,1236920,6037,1236920,6037,,,,,587815,1803,,0,
2/1/2021,FL,27129,,214,,73551,73551,6142,167,,,8480485,19021,578113,560932,14791520,,,1695300,1398012,5600,0,71851,,69600,,2212703,,19217006,59496,19217006,59496,650372,,630838,,10175785,24621,17083600,54434,
2/1/2021,GA,14242,12613,44,1629,50323,50323,4438,86,8400,,,0,,,,,,912479,752448,3034,0,61724,,,,723022,,,0,6474133,21387,446424,,,,,0,6474133,21387,
2/1/2021,GU,129,,0,,,,6,0,,2,99764,1221,,,,,2,7608,7401,21,0,22,270,,,,7377,,0,107372,1242,343,8240,,,,0,107165,1250,
2/1/2021,HI,410,410,0,,2086,2086,63,19,,16,,0,,,,,12,26608,25943,90,0,,,,,25806,,993306,5831,993306,5831,,,,,,0,,0,
2/1/2021,IA,4906,,5,,,,368,0,,92,987275,1145,,87398,2196634,,28,267913,267913,355,0,,55190,14114,51905,290215,283036,,0,1255188,1500,,1131661,101560,217424,1257527,1501,2499887,4497,
